test,avg time
uf50-218 1,0.005
uf50-218 2,0.001
uf50-218 3,0.0025
uf50-218 4,0.0115
uf50-218 5,0.0055
uf50-218 6,0.003
uf50-218 7,0.005
uf50-218 8,0.0
uf50-218 9,0.004
uf50-218 10,0.0
uf75-325 1,0.002
uf75-325 2,0.042
uf75-325 3,0.029
uf75-325 4,0.0735
uf75-325 5,0.0405
uf75-325 6,0.0085
uf75-325 7,0.013
uf75-325 8,0.062
uf75-325 9,0.031
uf75-325 10,0.0655
uf100-430 1,0.453
uf100-430 2,0.372
uf100-430 3,0.2945
uf100-430 4,0.042
uf100-430 5,0.7255
uf100-430 6,0.0
uf100-430 7,0.1925
uf100-430 8,0.253
uf100-430 9,0.3565
uf100-430 10,0.2545
uf125-538 1,4.7845
uf125-538 2,1.452
uf125-538 3,21.958
uf125-538 4,6.497
uf125-538 5,1.2025
uf125-538 6,3.253
uf125-538 7,0.8535
uf125-538 8,0.1925
uf125-538 9,0.413
uf125-538 10,0.6325
uuf50-218 1,0.006
uuf50-218 2,0.013
uuf50-218 3,0.008
uuf50-218 4,0.005
uuf50-218 5,0.0085
uuf50-218 6,0.009
uuf50-218 7,0.0155
uuf50-218 8,0.004
uuf50-218 9,0.0175
uuf50-218 10,0.008
uuf75-325 1,0.086
uuf75-325 2,0.1255
uuf75-325 3,0.0745
uuf75-325 4,0.0405
uuf75-325 5,0.0495
uuf75-325 6,0.044
uuf75-325 7,0.034
uuf75-325 8,0.1015
uuf75-325 9,0.034
uuf75-325 10,0.103
uuf100-430 1,0.7835
uuf100-430 2,0.6
uuf100-430 3,0.893
uuf100-430 4,0.5105
uuf100-430 5,0.319
uuf100-430 6,0.1945
uuf100-430 7,0.481
uuf100-430 8,0.5535
uuf100-430 9,0.808
uuf100-430 10,0.3645
uuf125-538 1,1.498
uuf125-538 2,6.4025
uuf125-538 3,4.765
uuf125-538 4,2.2395
uuf125-538 5,11.3355
uuf125-538 6,9.3925
uuf125-538 7,6.109
uuf125-538 8,2.658
uuf125-538 9,2.7625
uuf125-538 10,3.4265
