test,avg time
uf50-218 1,0.133
uf50-218 2,0.112
uf50-218 3,0.005
uf50-218 4,0.012
uf50-218 5,0.006
uf75-325 1,0.007
uf75-325 2,0.211
uf75-325 3,1.125
uf75-325 4,1.668
uf75-325 5,0.508
uf100-430 1,5.892
uf100-430 2,7.144
uf100-430 3,0.378
uf100-430 4,52.488
uf100-430 5,4.177
uuf50-218 1,0.065
uuf50-218 2,0.061
uuf50-218 3,0.053
uuf50-218 4,0.046
uuf50-218 5,0.079
uuf75-325 1,1.587
uuf75-325 2,0.84
uuf75-325 3,0.558
uuf75-325 4,0.683
uuf75-325 5,1.054
uuf100-430 1,20.708
uuf100-430 2,3.981
uuf100-430 3,12.207
uuf100-430 4,14.617
uuf100-430 5,5.376
