test,avg time
uuf50-218 1,0.008
uuf50-218 2,0.017
uuf50-218 3,0.014
uuf50-218 4,0.006
uuf50-218 5,0.01
uuf50-218 6,0.011
uuf50-218 7,0.017
uuf50-218 8,0.005
uuf50-218 9,0.021
uuf50-218 10,0.01
uuf75-325 1,0.073
uuf75-325 2,0.156
uuf75-325 3,0.096
uuf75-325 4,0.052
uuf75-325 5,0.073
uuf75-325 6,0.056
uuf75-325 7,0.043
uuf75-325 8,0.132
uuf75-325 9,0.043
uuf75-325 10,0.144
uuf100-430 1,0.855
uuf100-430 2,0.727
uuf100-430 3,1.145
uuf100-430 4,0.792
uuf100-430 5,0.505
uuf100-430 6,0.289
uuf100-430 7,0.691
uuf100-430 8,0.654
uuf100-430 9,0.946
uuf100-430 10,0.514
uuf125-538 1,2.095
uuf125-538 2,8.142
uuf125-538 3,6.511
uuf125-538 4,2.83
uuf125-538 5,14.377
uuf125-538 6,12.508
uuf125-538 7,7.878
uuf125-538 8,3.521
uuf125-538 9,3.595
uuf125-538 10,4.459
